机场,CHINESENAME,ENGLISH,CHCOUNTRY,ENGCOUNTRY,城 市
BIA,巴斯提亚,BASTIA,法国,FRANCE,BIA
BIK,伯克,BIAK,印尼,INDONESIA,BIK
BIL,比灵斯,BILLINGS,美国,USA,BIL
BIO,比尔波,BILBAO,西班牙,SPAIN,BIO
BIS,俾斯麦,BISMARCK,美国,USA,BIS
BJL,宾祖尔,BANJUL,冈比亚,GAMBIA,BJL
BJM,宝针宝拉,BUJUMBURA,布隆迪,BURUNDI,BJM
BJS,北京,BEIJING,中国,CHINA,BJS
BJX,利昂,LEON/GUANAJUATO,墨西哥,MEXICO,BJX
BJZ,巴达霍斯,BADAJOZ,西班牙,SPAIN,BJZ
BKA,莫斯科,MOSCOW,俄罗斯,RUSSIAN,MOW
BKI,沙巴,KOTA KINABALU,马来西亚,MALAYSIA,BKI
BKK,曼谷,BANGKOK,泰国,THAILAND,BKK
BKO,巴马科,BAMAKO,马里,MALI,BKO
BKQ,布拉加尔,BLACKALL,澳洲,AUSTRALIA,BKQ
BKS,明古鲁,BENGKULU,印尼,INDONESIA,BKS
BKW,贝克里,BECKLEY,美国,USA,BKW
BLA,巴塞隆纳,BARCELONA,委内瑞拉,VENEZUELA,BLA
BLF,蓝田,BLUEFIELD,美国,USA,BLF
BLG,美拉呀,BELAGA,马来西亚,MALAYSIA,BLG
BLI,柏尔罕,BELLINGHAM,美国,USA,BLI
BLQ,波伦那,BOLOGNA,意大利,ITALY,BLQ
BLR,班加罗尔,BANGALORE,印度,INDIA,BLR
BLZ,布兰太尔,BLANTYRE,马拉威,MALAWI,BLZ
BME,布鲁姆,BROOME,澳洲,AUSTRALIA,BME
BMG,布隆明顿,BLOOMINGION,美国,USA,BMG
BMO,八莫,BHAMO,缅甸,MYANMAR,BMO
BMU,卑马,BIMA,印尼,INDONESIA,BMU
BMV,邦美蜀,BAN NE THUOT,越南,VIETNAM,BMV
BND,阿巴斯港,BANDAR ABBAS,伊朗,IRAN,BND
BNE,布里斯班,BRISBANE,澳洲,AUSTRALIA,BNE
BNJ,波恩,BONN,德国,GERMANY,CGN
BNK,巴连娜,BALLINA,澳洲,AUSTRALIA,BNK
BNU,布伦曼瑙,BLUMENAU,巴西,BRAZIL,BNU
BOD,波尔多,BORDEAUX,法国,FRANCE,BOD
BOG,波哥大,BOGOTA,哥伦比亚,COLOMBIA,BOG
BOI,波西,BOISE,美国,USA,BOI
BOM,孟买,BOMBAY/MUMBAI,印度,INDIA,BOM
BON,波内尔,BONAIRE,荷兰,NETHERLANDS,BON
BOO,波多,BODO,揶威,NORWAY,BOO
BOS,波士顿,BOSTON,美国,USA,BOS
BOX,波劳罗拉,BORROLOOLA,澳洲,AUSTRALIA,BOX
BPN,巴里巴板,BALIKPAPAN,印尼,INDONESIA,BPN
BPT,波蒙特,BEAMONT,美国,USA,BPT
BQT,布勒斯特,BREST,白俄罗斯,BELARUS,BQT
BRA,巴里拉斯,BARREIRAS,巴西,BRAZIL,BRA
BRE,不莱梅,BREMEN,德国,GERMANY,BRE
BRI,巴里,BARI,意大利,ITALY,BRI
BRK,伯克,BOURKE,澳洲,AUSTRALIA,BRK
BRL,布灵顿,BURLINGTON,美国,USA,BRL
BRM,巴基西梅托,BARQUIAIMETO,委内瑞拉,VENEZUELA,BRM
BRN,伯恩,BERNE,瑞士,SWITZERLAND,BRN
BRO,布朗斯维尔,BROWNSVILLE,美国,USA,BRO
BRQ,布尔诺,BRNO,捷克,CZECH,BRQ
BRR,巴拉群岛,BARRA,英国,UK,BRR
BRS,布里斯托,BRISTOL,英国,UK,BRS
BRU,布鲁塞尔,BRUSSELS,比利时,BELGIUM,SAO
BRW,巴罗,BARROW,美国,USA,BRW
BSB,巴西尼亚,BRASILIA,巴西,BRAZIL,BSB
BSD,保山,BAOCHAN,中国,CHINA,BSD
BSG,巴塔,BATA,赤道几内亚,EQUAT GUINEA,BSG
BSK,比斯加拉,BISKRA,阿尔及利亚,ALGERIA,BSK
BSL,巴塞尔,BASEL,瑞士,SWITZERLAND,BSL
BTM,标特,BUTTE,美国,USA,BTM
BTR,巴顿路奇,BARON ROUGE,美国,USA,BTR
BTU,宾土卢,BINTULU,马来西亚,MALAYSIA,BTU
BTV,布灵顿,BURLINGTON,美国,USA,BTV
BUC,伯克敦,BURKETOWN,澳洲,AUSTRALIA,BUC
BUD,布达佩斯,BUDAPEST,匈牙利,HUNGARY,BUD
BUE,布宜诺斯,BUENOS AIRES,阿根廷,ARGENTINA,BUE
BUF,布法罗,BUFFALO,美国,USA,BUF
BUG,本格拉,BENGUELA,安哥拉,ANGOLA,BUG
BUH,布加勒斯特,BUCHAREST,罗马尼亚,ROMANIA,BUH
BUR,布班克,BURBANK,美国,USA,LAX
BUS,巴统,BATUMI,乔治亚,GEORGIA,BUS
BVB,波阿维斯塔,BOA VISTA,巴西,BRAZIL,BVB
BVC,波阿维斯塔,BOA VISTA,佛得角岛,CAPE VERDE,BVC
BVI,伯士维尔,BIRDSVILLE,澳洲,AUSTRALIA,BVI
BWE,布伦兹维克,BRAUNSCHWEIG,德国,GERMANY,BWE
BWI,巴尔的摩,BALTIMORE,美国,USA,BWI
BWN,诗里布加湾,BANDAR SERI BEGAWAN,文莱,BRUNEI DARUSSALAM,BWN
BWQ,布鲁窝利纳,BREWARRINA,澳洲,AUSTRALIA,BWQ
BWT,伯尼,BURNIE,澳洲,AUSTRALIA,BWT
BXH,巴尔喀什,BALKHASH,哈萨克,KAZAKHSTAN,BXH
BXU,武端,BUTUAN,菲律宾,PHILIPPINES,BXU
BZE,伯利兹,BELIZE CITY,伯利兹,BELIZE,BZE
BZL,巴里索尔,BARISAL,孟加拉,BANGLADESH,BZL
BZN,波兹曼,BOZEMAN,美国,USA,BZN
BZV,布拉柴维尔,BRAZZAVILLE,刚果,CONGO,BZV
CAB,卡奔达,CABINDA,安哥拉,ANGOLA,CAB
CAE,哥伦比亚,COLUMBIA,美国,USA,CAE
CAG,卡利阿里,CAGLIARI,意大利,ITALY,CAG
CAI,开罗,CAIRO,埃及,EGYPT,CAI
CAK,阿克朗,AKRON/CANTON,美国,USA,CAK
CAN,广州,GUANGZHOU,中国,CHINA,CAN
