机场,CHINESENAME,ENGLISH,CHCOUNTRY,ENGCOUNTRY,城 市
LIS,里斯本,LISBON,葡萄牙,PORTUGAL,LIS
LIT,小石城,LITTLE ROCK,美国,USA,LIT
LJU,卢布尔雅那,LJUBLJANA,斯洛文尼亚,SLOVENIA,LJU
LKO,勒克瑙,LUCKNOW,印度,INDIA,LKO
LLA,吕勒奥,LULEA,瑞典,SWEDEN,LLA
LLW,利朗伟,LILONGWE,马拉威,MALAWI,LLW
LNS,兰开斯特,LANCASTER,美国,USA,LNS
LNY,拉奈,LANAI CITY,美国,USA,LNY
LNZ,林莰,LINZ,奥地利,AUSTRIA,LNZ
LON,伦敦,LONDON,英国,UK,LON
LOS,拉各斯,LAGOS,尼日利亚,NIGERIA,LOS
LPB,拉巴斯,LA PAZ,玻利维亚,BOLIVIA,LPB
LPL,利物浦,LIVERPOOL,英国,UK,LPL
LPT,南邦,LAMPANG,泰国,THAILAND,LPT
LRD,拉雷多,LAREDO,美国,USA,LRD
LRE,朗里奇,LONGREACH,澳洲,AUSTRALIA,LRE
LRH,拉罗谢尔,LA ROCHELLE,法国,FRANCE,LRH
LRT,洛里昂,LORIENT,法国,FRANCE,LRT
LTN,伦敦,LONDON,英国,UK,LON
LUD,卢得立次,LUDERITZ,纳米比亚,NAMIBIA,LUD
LUN,桑比亚,LUSAKA,卢萨卡,ZAMBIA,LUN
LUX,卢森堡,LUXEMBOURG,卢森堡,LUXEMBOURG,LUX
LVI,利文斯敦,LIVINGSTONE,卢萨卡,ZAMBIA,LVI
LVO,拉弗顿,LAVERTON,澳洲,AUSTRALIA,LVO
LWT,刘易斯顿,LEWISTOWN,美国,USA,LWT
LXA,拉萨,LHASA,中国,CHINA,LXA
LXR,盧克索,LUXOR,埃及,EGYPT,LXR
LYA,洛陽,LUOYANG,中國,CHINA,LYA
LYG,連雲港,LIANYUNGANG,中國,CHINA,LYG
LYH,林奇堡,LYNCHBURG,美國,USA,LYH
LYS,里昂,LYON,法国,FRANCE,LYS
LYU,伊利,ELY,美國,USA,LYU
LZH,柳州,LIUZHOU,中國,CHINA,LZH
LZO,盧州,LUZHOU,中國,CHINA,LZO
MAA,马德拉斯,MADRAS,印度,INDIA,MAA
MAD,马德里,MADRID,西班牙,SPAIN,MAD
MAF,米德蘭,MIDLAND,美國,USA,MAF
MAN,曼彻斯特,MANCHESTER,英国,UK,MAN
MAO,馬瑙斯,MANAUS,巴西,BRAZIL,MAO
MBA,木巴萨,MOMBASA,肯雅,KENYA,MBA
MBE,紋別,MONBETSU,日本,JAPAN,MBE
MBH,馬里伯勒,MARYBOROUGH,澳洲,AUSTRALIA,MBH
MBJ,蒙特哥湾,MONTEGO BAY,牙买加,JAMAICA,MBJ
MBL,馬尼斯蒂,MANISTEE,美國,USA,MBL
MBP,莫紐班巴,MOYOBAMBA,秘魯,PERU,MBP
MBS,薩吉諾,SAGINAW,美國,USA,MBS
MCG,麥格拉斯,MCGRATH,美國,USA,MCG
MCI,堪薩斯城,KANSAS CITY,美國,USA,MCI
MCK,麥庫克,MCCOOK,美國,USA,MCK
MCM,蒙地卡罗,MONTE CARLO,摩纳哥,MONACO,MCM
MCN,梅肯,MACON,美國,USA,MCN
MCO,奥兰多,ORLANDO INTL,美国,USA,ORL
MCP,馬卡帕,MACAPA,巴西,BRAZIL,MCP
MCT,马斯哈特,MUSCAT,阿曼,OMAN,MCT
MCU,蒙呂松,MONTLUCON,法國,FRANCE,MCU
MCX,馬哈奇卡拉,MAKHACHKALA,俄羅斯,RUSSIA,MCX
MCZ,馬塞約,MACEIO,巴西,BRAZIL,MCZ
MDC,萬鴉老,MANADO,印尼,INDONESIA,MDC
MDE,麥得林,MEDELLIN,哥倫比亞,COLOMBIA,MDE
MDG,牡丹,MUDAJIANG,中國,CHINA,MDG
MDK,姆班達卡,MBANDAKA,扎伊爾,ZAIRE,MDK
MDL,曼德勒,MANDALAY,緬甸,MYANMAR,MDL
MDT,哈里斯堡,HARRISBURG,美國,USA,MDT
MDW,芝加哥,CHICAGO MIDWAY,美國,USA,CHI
MEI,默里迪恩,MERIDIAN,美國,USA,MEI
MEL,墨尔本,MELBOURNE,澳洲,AUSTRALIA,MEL
MEM,孟菲斯,MEMPHIS,美国,USA,MEM
MES,棉兰,MEDAN,印尼,INDONESIA,MES
MEX,墨西哥城,MEXICO CITY,墨西哥,MEXICO,MEX
MFM,澳门,MACAU,澳门,MACAU,MFM
MFR,梅德福,MEDFORD,美國,USA,MFR
MGD,馬格達萊納,MAGDALENA,玻利維亞,BOLIVIA,MGD
MGM,蒙哥瑪利,MONTGOMERY,美國,USA,MGM
MHD,馬什哈德,MASHAD,伊朗,IRAN,MHD
MHE,米切爾,MITCHELL,美國,USA,MHE
MHT,曼徹斯特,MANCHESTER,美國,USA,MHT
MIA,迈阿密,MIAMI,美国,USA,MIA
MID,梅里達,MERIDA,墨西哥,MEXICO,MID
MIE,曼西,MUNCIE,美國,USA,MIE
MIL,米兰,MILAN,意大利,ITALY,MIL
MKC,堪萨斯城,KANSAS CITY,美国,USA,MKC
MKE,密沃基,MILWAUKEE,美國,USA,MKE
MKG,馬斯基根,MUSKEGON,美國,USA,MKG
MKL,杰克遜,JACKSON,美國,USA,MKL
MKR,米卡薩拉,MEEKATHARRA,澳洲,AUSTRALIA,MKR
MKY,麥凱,MACKAY,澳洲,AUSTRALIA,MKY
MKZ,馬六甲,MALACCA,馬來西亞,MALAYSIA,MKZ
MLB,墨爾本,MELBOURNE,美國,USA,MLB
MLI,莫林,MOLINE,美國,USA,MLI
MLL,馬紹爾,MARSHALL,美國,USA,MLL
MLM,莫雷利亞,MORELIA,墨西哥,MEXICO,MLM
MLN,梅利利亞,MELILLA,西班牙,SPAIN,MLN
MLS,邁爾斯城,MILES CITY,美國,USA,MLS
MLU,門羅,MONROE,美國,USA,MLU
MLW,蒙羅維亞,MONROVIA,利比里亞,LIBERIA,MLW
MLX,馬拉蒂亞,MALATYA,土耳其,TURKEY,MLX
MMA,馬爾默,MALMO,瑞典,SWEDEN,MMA
MMJ,松本,MATSUMOTO,日本,JAPAN,MMJ
MMY,宮古,MIYAKO JIMA,日本,JAPAN,MMY
MNI,蒙塞拉特,MONTSERRAT,蒙塞拉特,MONTSERRAT,MNI
MNL,马尼拉,MANILA,菲律宾,PHILIPPINES,MNL
MOF,毛梅雷,MAUMERE,印尼,INDONESIA,MOF
MOT,邁諾特,MINOT,美國,USA,MOT
MOW,莫斯科,MOSCOW,俄罗斯,RUSSIA,MOW
MPB,迈亚美,MIAMI,美国,USA,MIA
MPL,蒙彼利埃,MONTPELLIER,法國,FRANCE,MPL
MPM,馬普托,MAPUTO,莫山鼻克,MOZAMBIQUE,MPM
MPW,馬里烏波爾,MARIUPOL,烏克蘭,UKRAINE,MPW
MQT,馬凱特,MARQUETTE,美國,USA,MQT
MRS,马赛,MARSEILLA,法国,FRANCE,MRS
MRU,毛里求斯,MAURITIUS,毛里求斯,MAURITUIUS,MRU
MRY,蒙特雷,MONTEREY,美國,USA,MRY
MSN,麥迪遜,MADISON,美國,USA,MSN
MSO,米蘇拉,MISSOULA,美國,USA,MSO
MSQ,明斯克,MINSK,白俄羅斯,BELARUS,MSQ
MSY,新奧爾良,NEW ORLENS,美國,USA,MSY
MTO,馬頓,MATTON,美國,USA,MTO
MTR,蒙特里亞,MONTERIA,哥倫比亞,COLOMBIA,MTR
MTY,蒙特雷,MONTERREY,墨西哥,MEXICO,MTY
MUC,慕尼克,MUNICH,德国,GERMANY,MUC
MWA,馬里恩,MARION,美國,USA,MWA
MWH,摩西萊克,MOSES LAKE,美國,USA,MWH
MXP,米蘭,MILAN,意大利,ITALY,MIL
MZG,馬公,MAKUNG,台灣,TAIWAN,MZG
MZT,馬薩特蘭,MAZATLAN,墨西哥,MEXICO,MZT
NAA,納拉布賴,NARRABRI,澳洲,AUSTRALIA,NAA
NAO,南昌,NANCHONG,中国,CHINA,NAO
NAP,那不勒斯,NAPLES,意大利,ITALY,NAP
NAS,拿骚,NASSAU,巴哈马,BAHAMAS,NAS
NAY,北京,BEIJING,中国,CHINA,BJS
NBO,内罗比,NAIROBI,肯雅,KENYA,NBO
NCE,尼斯,NICE,法国,FRANCE,NCE
NCL,紐卡斯爾,NEWCASTLE,英國,UK,NCL
NCR,圣加洛斯,SAN CARLOS,尼加拉瓜,NICARAGUA,NCR
NDG,齊齊哈爾,QIQIHAR,中國,CHINA,NDG
NEH,恩施,ENSHI,中国,CHINA,NEH
NGB,寧波,NINGBO,中國,CHINA,NGB
NGO,名古屋,NAGOYA,日本,JAPAN,NGO
NGS,長崎,NAGASAKI,日本,JAPAN,NGS
NHA,芽莊,NHA-TRANG,越南,VIETNAM,NHA
NIM,尼亚美,NIAMEY,尼日尔,NIGER,NIM
NKG,南京,NANJING,中国,CHINA,NKG
NNG,南宁,NANNING,中国,CHINA,NNG
NNK,納克內克,NAKNEK,美國,USA,NNK
NNY,南陽,NANYANG,中國,CHINA,NNY
NOU,努美阿,NOUMEA,新喀里多尼,NEW CALEDONIA,NOU
NRT,東京,TOKYO NARITA AIRPORT,日本,JAPAN,TYO
NSN,納爾遜,NELSON,新西蘭,NEW ZEALAND,NSN
NTE,南特,NANTES,法國,FRANCE,NTE
NTG,南通,NANTONG,中國,CHINA,NTG
NTL,紐卡斯爾,NEWCASTLE,澳洲,AUSTRALIA,NTL
NUE,纽伦堡,NUREMBERG,德国,GERMANY,NUE
NVA,內瓦,NEIVA,哥倫比亞,COLOMBIA,NVA
NVK,納爾維克,NARVIK,挪威,NORWAY,NVK
NWI,諾里奇,NORWICH,英國,UK,NWI
NYC,纽约,NEW YORK,美国,USA,NYC
NYM,納德姆,NADYM,俄羅斯,RUSSIA,NYM
NYN,寧根,NYNGAN,澳洲,AUSTRALIA,NYN
OAG,奧蘭治,ORANGE,美國,USA,OAG
OAJ,杰克遜維爾,JACKSONVILLE,美國,USA,OAJ
OAK,奥克兰,OAKLAND,美国,USA,SFO
OAX,瓦哈卡,OAXOCA,墨西哥,MEXICO,OAX
OBO,帶廣,OBIHIRO,日本,JAPAN,OBO
ODE,欧登塞,ODENSE,丹麦,DENMARK,ODE
OFK,諾克福,NORFOLK,美國,USA,OFK
OGS,奧格登斯堡,OGDENSBURG,美國,USA,OGS
OGX,瓦蘭格拉,OUARGLA,阿爾及利亞,ALGERIA,OGX
OIT,大分,OITA,日本,JAPAN,OIT
OKA,冲绳岛,OKINAWA,日本,JAPAN,OKA
OKC,俄克拉何馬,OKLAHOMA CITY,美國,USA,OKC
OKD,扎幌,SAPPORO OKADAMA,日本,JAPAN,SPK
OKJ,岡山,OKAYAMA,日本,JAPAN,OKJ
OMA,奧馬哈,OMAHA,美國,USA,OMA
OME,諾姆,NOME,美國,USA,OME
ONT,安大略,ONTARIO,美國,USA,ONT
OOL,黄金海岸,GOLD COAST,澳洲,AUSTRALIA,OOL
ORB,厄勒布魯,OREBRO,瑞典,SWEDEN,ORB
ORD,芝加哥,CHICAGO O HARE INTL,美国,USA,CHI
ORF,諾克福,NORFOLK,美國,USA,ORF
ORH,伍斯特,WORCESTER,美國,USA,ORH
ORL,奧蘭多,ORLANDO HERNDON,美國,USA,ORL
ORN,奧蘭,ORAN,阿爾及利亞,ALGERIA,ORN
ORW,奧爾馬拉,ORMARA,巴基斯坦,PAKISTAN,ORW
ORY,巴黎,ORLY,法國,-,PAR
OSA,大阪,OSAKA,日本,JAPAN,OSA
OSD,厄斯特松德,OSTERSUND,瑞典,SWEDEN,OSD
OSH,奧科什科,OSHKOSH,美國,USA,OSH
OSI,奧西耶克,OSIJEK,克羅地亞,CROATIA,OSI
OSK,奧斯卡港,OSKARSHAMN,瑞典,SWEDEN,OSK
OSL,奧耶圭,OSLO,挪威,NORWAY,OSL
OSR,俄斯特拉發,OSTRAVA,捷克,CZECH,OSR
OSS,奧什,OSH,吉爾吉斯,KYRGYZTAN,OSS
OSW,奧爾斯克,ORSK,俄羅斯,RUSSIA,OSW
OSY,納姆索斯,NAMSOS,挪威,NORWAY,OSY
OTZ,科策布,KOTZEBUE,美國,USA,OTZ
OUA,瓦加杜古,OUAGADOUGOU,-,BURKINA FASO,OUA
OUD,烏季達,OUJDA,摩洛哥,MOROCCO,OUD
OUE,韋索,OUESSO,剛果,CONGO,OUE
OUL,奧盧,OULU,芬蘭,FINLAND,OUL
OXB,比绍,BISSAU,几内亚比绍,GUINEA-BISSAU,OXB
PAC,巴拿馬城,PANAMA CITY,巴拿馬,PANAMA,PAC
PAR,巴黎,PARIS,法国,FRANCE,PAR
PAT,巴特那,PATNA,印度,INDIA,PAT
PBC,普埃布拉,PUEBLA,墨西哥,MEXICO,PBC
PBI,帕姆,PALM BEACH,美國,USA,PBI
PBM,帕拉馬里博,PARAMARIBO,蘇里南,SURINAME,PBM
PDT,彭德爾頓,PENDLETON,美國,USA,PDT
PDX,波特蘭,PORTLAND,美國,USA,PDX
PEK,北京,PEKING,中国,CHINA,BJS
PEN,槟城,PENANG,马来西亚,MALAYSIA,PEN
PER,柏斯,PERTH,澳洲,AUSTRALIA,PER
PFN,巴拿馬城,PANAMA CITY,美國,USA,PFN
PGF,佩皮尼昂,PERPIGNAN,法國,FRANCE,PGF
PGV,格林維爾,GREENVILLE,美國,USA,PGV
PHF,紐波特紐斯,NEWPORT NEWS,美國,USA,PHF
PHL,费城,PHILADELPHIA,美国,USA,PHL
PHX,凤凰城,PHOENIX,美国,USA,PHX
PIA,皮奧里亞,PEORIA,美國,USA,PIA
PIE,聖比得堡,ST PETERSBURG,美國,USA,PIE
PIF,屏東,PINGTUNG,台灣,TAIWAN,PIF
PIH,波卡特洛,POCATELLO,美國,USA,PIH
PIK,格拉斯哥,GLASGOW,英國,UK,PIK
PIR,皮爾,PIERRE,美國,USA,PIR
PIS,普瓦捷,POITIERS,法國,FRANCE,PIS
PIT,匹茲堡,PITTSBURGH,美國,USA,PIT
PLH,普利茅斯,PLYMOUTH,英國,UK,PLH
PLO,林肯港,PORT LINCOLN,澳洲,AUSTRALIA,PLO
PMF,帕爾馬,PARMA,意大利,ITALY,PMF
PMI,巴尔马,PALMA DE MALLORCA,西班牙,SPAIN,PMI
PNH,金边,PHNOM PENH,柬埔寨,CAMBODIA,PNH
PNS,彭薩科拉,PENSACOLA,美國,USA,PNS
POA,阿雷格里港,PORTO ALEGRE,巴西,BRAZIL,POA
POM,莫勒斯比港,PORT MORESBY,新畿内亚,PAPUA NEW GUINEA,POM
POU,波基普西,POUGHKEEPSIE,美國,USA,POU
PRG,布拉格,PRAGUE,捷克,CZECH,PRG
PSA,比萨,PISA,意大利,ITALY,PSA
PTP,皮持尔角,POINTE-A-PITRE,瓜达罗普,GUADELOUPE,PTP
PTY,巴拿马,PANAMA CITY,巴拿马,PANAMA,PTY
PUB,普韋布洛,PUEBLO,美國,USA,PUB
PUF,波城,PAU,法國,FRANCE,PUF
PVD,普羅維登斯,PROVIDENCE,美國,USA,PVD
PVG,上海,SHANGHAI PU DONG,中國,-,SHA
PWK,茲加哥,CHICAGO,美國,USA,CHI
PWM,波特蘭,PORTLAND,美國,USA,PWM
PXU,百里居,PLEIKU,越南,VIETNAM,PXU
PZE,彭贊喜,PENZANCE,英國,UK,PZE
PZH,茲霍布,ZHOB,巴基斯坦,PAKISTAN,PZH
PZU,蘇丹港,PORT SUDAN,蘇丹,SUDAN,PZU
QRO,克雷塔罗,QUERETARO,墨西哥,MEXICO,QRO
RAJ,拉杰果德,RAJKOT,印度,INDIA,RAJ
RAK,马拉喀什,MARRAKECH,摩洛哥,MOROCCO,RAK
RAP,拉皮德城,RAPID CITY,美国,USA,RAP
RBA,拉巴特,RABAT,摩洛哥,MOROCCO,RBA
RCH,里奥阿查,RIOHACHA,哥伦比亚,COLOMBIA,RCH
RDD,雷丁,REDDING,美国,USA,RDD
RDU,罗利,RALEIGH,美国,USA,RDU
REC,累西腓,RECIFE,巴西,BRAZIL,REC
REK,雷克雅米克,REYKJAVIK,冰岛,ICELAND,REK
REN,奥伦堡,OREBURG,俄罗斯,RUSSIA,REN
REX,雷诺萨,REYNOSA,墨西哥,MEXICO,REX
RFD,罗克福,ROCKFORD,美国,USA,RFD
RGA,里奥格兰德,RIO GRANDE,阿根廷,ARGENTINA,RGA
RGN,仰光,YANGON,缅甸,MYANMAR,RGN
RHE,兰斯,REIMS,法国,FRANCE,RHE
RHI,莱茵兰德,RHINELANDER,美国,USA,RHI
RIA,圣玛丽亚,SANTA MARIA,巴西,BRAZIL,RIA
RIC,里士满,RICHMOND,美国,USA,RIC
RIG,里奥格兰德,RIO GRANDE,巴西,BRAZIL,RIG
RIO,里约热内卢,RIO DE JANEIRO,巴西,BRAZIL,RIO
RIW,里弗顿,RIVERTON,美国,USA,RIW
RIX,里加,RIGA,拉脱维亚,LATVIA,RIX
RJK,里耶卡,RIJEKA,克罗地亚,CROATIA,RJK
RKV,雷克雅未克,REYKJAVIK,冰岛,ICELAND,RKV
RMA,罗马,ROMA,澳洲,AUSTRALIA,RMA
RMI,里米尼,RIMINI,意大利,ITALY,RMI
RMK,伦马克,RENMARK,澳洲,AUSTRALIA,RMK
RNN,博恩霍意姆,BORNHOLM,丹麦,DENMARK,RNN
RNO,雷诺,RENO,美国,USA,RNO
RNS,雷恩,RENNES,法国,FRANCE,RNS
ROA,罗阿诺克,ROANOKE,美国,USA,ROA
ROC,罗切斯特,ROCHESTER,美国,USA,ROC
ROK,罗夫汉普顿,ROCKHAMPTON,澳洲,AUSTRALIA,ROK
ROM,罗马,ROME,意大利,ITALY,ROM
ROS,罗萨里奥,ROSARIO,阿根廷,ARGENTINA,ROS
ROT,罗托鲁阿,ROTORUA,新西兰,NEW ZEALAND,ROT
ROV,罗斯托夫,ROSTOV,俄罗斯,RUSSIA,ROV
ROW,罗斯伟尔,ROSWELL,美国,USA,ROW
RPR,赖布尔,RAIPUR,印度,INDIA,RPR
RSA,圣罗莎,SANTA ROSA,阿根廷,ARGENTINA,RSA
RSJ,罗萨里奥,ROSARIO,美国,USA,RSJ
RTA,罗图马岛,ROTUMA ISLAND,菲济,FIJI,RTA
RTG,鲁滕,RUTENG,印尼,INDONESIA,RTG
RTI,罗地,ROTI,印尼,INDONESIA,RTI
RTM,鹿特丹,ROTTERDAM,荷兰,NETHERLANDS,RTM
RUH,利雅德,RIYADH,沙地亚拉伯,SAUDI ARABIA,RUH
RWI,洛基山,ROCKY MOUNT,美国,USA,RWI
RXS,洛塞斯,ROXAS,菲律宾,PHILIPPINES,RXS
SAC,萨克拉门托,SACRAMENTO,美国,USA,SAC
SAF,圣菲,SANTA FE,美国,USA,SAF
SAH,萨那,SANAA,也门,YEMEN,SAH
SAL,圣萨尔瓦多,SAN SALVADOR,萨尔瓦多,EI SALVADOR,SAL
SAN,圣地亚哥,SAN DIEGO,美国,USA,SAN
SAO,圣保罗,SAO PAULO,巴西,BRAZIL,SAO
SAT,圣安东尼奥,SAN ANTONIO,美国,USA,SAT
SAU,萨武,SAWU,印尼,INDONESIA,SAU
SAV,萨凡纳河,SAVANNAH,美国,USA,SAV
SBA,圣巴巴拉,SANTA BARBARA,美国,USA,SBA
SBN,南本德,SOUTH BEND,美国,USA,SBN
SBP,圣路易斯,SAN LUIS,美国,USA,SBP
SBZ,锡比岛,SIBIU,罗马尼亚,ROMANIA,SBZ
SCC,普拉德霍湾,PRUDHOE BAY,美国,USA,SCC
SCL,圣地亚哥,SANTIAGO,智利,CHILE,SCL
SCN,萨尔布吕肯,SAARBRUCKEN,德国,GERMANY,SCN
SCO,阿克套,AKTAU,哈萨克,KAZAKHSTAN,SCO
SCT,索科特拉,SOCOTRA,也门,YEMEN,SCT
SCU,圣地亚哥,SANTIAGO,古巴,CUBA,SCU
SCV,苏恰瓦,SUCEAVA,罗马尼亚,ROMANIA,SCV
SDF,路易斯维尔,LOUISVILLE,美国,USA,SDF
SDJ,仙台,SENDAI,日本,JAPAN,SDJ
SDK,山打根,SANDAKAN,马来西亚,MALAYSIA,SDK
SDL,松兹瓦尔,SUNDSVALL,瑞典,SWEDEN,SDL
SDQ,圣多明各,SANTO DOMINGO,-,DOMINICAN REP,SDQ
SDU,里约热内卢,RIO DE JANEIRO,巴西,BARZIL,SDU
SDZ,I设得兰群,SHETLAND ISLAND,英国,UK,SDZ
SEA,西雅图,SEATTLE,美国,USA,SEA
SEL,汉城,SEOUL,韩国,KOREA,SEL
SEY,塞利巴比,SELIBABY,毛里塔尼亚,MAURITANIA,SEY
SFA,斯法克斯,SFAX,突尼斯,TUNISIA,SFA
SFG,圣马丁,ST MARTIN,-,-,SFG
SFN,圣菲,SANTA FE,阿根廷,ARGENTINA,SFN
SFO,三藩市,SAN FRANCISCO,美国,USA,SFO
SFT,谢莱夫特奥,SKELLEFTEA,瑞典,SWEDEN,SFT
SGN,胡志明市,HO CHI MINH CITY,越南,VIETNAM,SGN
SGO,圣乔治,ST GEORGE,澳洲,AUSTRALIA,SGO
SGU,圣乔治,ST GEORGE,美国,USA,SGU
SGY,斯卡圭,SKAGWAY,美国,USA,SGY
SHA,上海,SHANGHAI,中国,CHINA,SHA
SHD,斯汤顿,STAUNTON,美国,USA,SHD
SHE,沈阳,SHENYANG,中国,CHINA,SHE
SHP,秦皇岛,QINHUANGDAO,中国,CHINA,SHP
SHR,谢里登,SHERIDAN,美国,USA,SHR
SHS,沙市,SHASHI,中国,CHINA,SHS
SHV,什里夫波特,SHREVEPORT,美国,USA,SHV
SIA,西安,XIAN,中国,CHINA,SIA
SIG,圣胡安,SAN JUAN,波多黎各,PUERTO RICO,SIG
SIN,新加坡,SINGAPORE,新加坡,SINGAPORE,SIN
SIP,辛菲罗波尔,SIMFEROPOL,乌克兰,UKRAINE,SIP
SIT,锡特卡,SITKA,美国,USA,SIT
SIX,辛格尔顿,SINGLETON,澳洲,AUSTRALIA,SIX
SJC,圣荷西,SAN JOSE,美国,USA,SJC
SJJ,萨拉热窝,SARAJEVO,波斯尼亚,BOSNIA,SJJ
SJO,圣约瑟,SAN JOSE,哥斯达黎加,COSTA RICA,SJO
SJT,圣安吉洛,SAN ANGELO,美国,USA,SJT
SJU,圣胡安,SAN JUAN,波多黎各,PUERTO RICO,SJU
SKD,撒马尔汗,SAMARKAND,乌兹别克,UZBEKISTAN,SKD
SKO,索科托,SOKOTO,尼日利亚,NIGERIA,SKO
SKP,斯科普里,SKOPJE,马奇顿,MACEDONIA,SKP
SLA,萨尔曼,SALTA,阿根廷,ARGENTINA,SLA
SLC,盐湖城,SALT LAKE CITY,美国,USA,SLC
SLL,塞拉莱,SALALAH,阿曼,OMAN,SLL
SLN,-,SLN,-,UNITED STATES,SLN
SLU,圣路易斯,ST LUCIA,圣路易斯,ST LUCIA,SLU
SLW,萨尔蒂约,SALTILLO,墨西哥,MEXICO,SLW
SLZ,圣路易斯,SAO LUIZ,巴西,BRAZIL,SLZ
SMF,萨克拉门托,SACRAMENTO,美国,USA,SMF
SMK,圣迈克尔,ST MICHAEL,美国,USA,SMK
SMS,圣玛丽角,STE MARIE,马达加斯加,MADAGASCAR,SMS
SMX,圣玛丽亚,SANTA MARIA,美国,USA,SMX
SNA,圣安哪,SANTA ANA,美国,USA,SNA
SNN,善农,SHANNON,爱尔兰,IRELAND,SNN
SNO,沙公那空,SAKON NAKHON,泰国,THAILAND,SNO
SNP,圣保罗岛,ST PAUL ISLAND,美国,USA,SNP
SOC,梭罗,SOLO CITY,印尼,INDONESIA,SOC
SOF,索菲亚,SOFIA,保加利亚,BULGARIA,SOF
SOO,瑟德港,SODERHAMN,瑞典,SWEDEN,SOO
SOQ,梭朗,SORONG,印尼,INDONESIA,SOQ
SOU,南安普顿,SOUTHAMPTON,英国,UK,SOU
SOX,索加莫索,SOGAMOSO,哥伦比亚,COLOMBIA,SOX
SPD,赛德普尔,SAIDPUR,孟加拉,BANGLADESH,SPD
SPI,-,SPI,-,UNITED STATES,SPI
SPK,扎幌,SAPPORO,日本,JAPAN,SPK
SPR,圣佩德罗,SAN PEDRO,柏利兹,BELIZE,SPR
SPU,斯普利特,SPLIT,克罗地亚,CROATIA,SPU
SPW,斯潘塞,SPENCER,美国,USA,SPW
SQC,南克罗斯,SOUTHERN CROSS,澳洲,AUSTRALIA,SQC
SQI,斯特灵,STERLING,美国,USA,SQI
SRA,圣罗莎,SANTA ROSA,巴西,BRAZIL,SRA
SRE,苏克兰,SUCRE,玻利维亚,BOLIVIA,SRE
SRG,三宝垄,SEMARANG,印尼,INDONESIA,SRG
SRI,三马林达,SAMARINDA,印尼,INDONESIA,SRI
SRN,斯特拉思,STRAHAN,澳洲,AUSTRALIA,SRN
SRQ,萨拉索塔,SARASOTA,美国,USA,SRQ
SRZ,圣克鲁斯,SANTA CRUZ,玻利维亚,BOLIVIA,SRZ
SSA,萨尔瓦多,SALVADOR,巴西,BRAZIL,SSA
SSG,马拉博,MALABO,赤道几内亚,EQUAT GUINEA,SSG
SSI,不伦瑞克,BRUNSWICK,美国,USA,SSI
SSM,苏圣玛丽,SAULT SAINTE MARIE,美国,USA,SSM
SSX,萨姆松,SAMSUN,土耳其,TURKEY,SSX
STD,圣多明各,SANTO DOMINGO,委内瑞拉,VENEZUELA,STD
STG,圣乔治岛,ST GEORGE ISLAND,美国,USA,STG
STL,圣路易,ST LOUIS,美国,USA,STL
STM,圣塔伦,SANTAREM,巴西,BRAZIL,STM
STN,伦敦,LONDON,英国,UK,LON
STO,斯德哥尔摩,STOCKHOLM,瑞典,SWEDEN,STO
STR,斯图加特,STUTTGART,德国,GERMANY,STR
STS,圣罗莎,SANTA ROSA,美国,USA,STS
SUV,苏瓦,SUVA,菲济,FIJI,SUV
SUX,苏城,SIOUX CITY,美国,USA,SUX
SVC,银城,SILVER CITY,美国,USA,SVC
SVG,斯塔万格,STAVANGER,挪威,NORWAY,SVG
SVO,莫斯科,MOSCOW,俄罗斯,RUSSIA,MOW
SVZ,圣安东尼奥,SAN ANTONIO,委内瑞拉,VENEZUELA,SVZ
SWA,汕头,SHANTOU,中国,CHINA,SWA
SWD,苏厄德,SEWARD,美国,USA,SWD
SWF,-,SWF,-,UNITED STATES,SWF
SWQ,松巴哇,SUMBAWA,印尼,INDONESIA,SWQ
SXB,斯特拉斯堡,STRASBOURG,法国,FRANCE,SXB
SXE,塞尔,SALE,澳洲,AUSTRALIA,SXE
SXF,柏林,BERLIN,德国,GERMANY,SXF
SXL,斯莱戈,SLIGO,爱尔兰,IRELAND,SXL
SXR,斯利那加,SRINAGAR,印度,INDIA,SXR
SYD,悉尼,SYDNEY,澳洲,AUSTRALIA,SYD
SYR,锡拉丘兹,SYRACUSE,美国,USA,SYR
SYX,三亚,SANYAN,中国,CHINA,SYX
SYY,斯托诺韦,STORNOWAY,英国,UK,SYY
SYZ,设拉子,SHIRAZ,伊朗,IRAN,SYZ
SZG,萨尔斯堡,SALZBURG,奥地利,AUSTRIA,SZG
SZV,苏州,SUZHOU,中国,CHINA,SZV
SZX,深圳,SHENZHEN,中国,CHINA,SZX
SZZ,什切青,SZCZECIN,波兰,POLAND,SZZ
TAB,多巴哥,TOBAGO,千里达,TRINIDAD,TAB
TAC,塔克洛班,TACLOBAN,菲律宾,PHILIPPINES,TAC
TAG,塔秘拉兰,TAGBILARAN,菲律宾,PHILIPPINES,TAG
TAK,高松,TAKAMATSU,日本,JAPAN,TAK
TAL,塔纳诺,TANANA,美国,USA,TAL
TAM,坦皮科,TAMPICO,墨西哥,MEXICO,TAM
TAO,青岛,QINGDAO,中国,CHINA,TAO
TAP,塔帕丘拉,TAPACHULA,墨西哥,MEXICO,TAP
TAS,塔什干,TASHKENT,乌兹别克,UZBEKISTAN,TAS
TBO,塔波拉,TABORA,坦桑尼亚,TANZANIA,TBO
